type,benchmarks,MP,SI,VP,AP,AS,PA,CE,CO,EC,NV,CL,QL,MS,MC,TaskHierarchies,keyword,2008.docs,2009.docs,2010.docs,2011.docs,2012.docs,2013.docs,2014.docs,2015.docs,2016.docs,2017.docs,2018.docs,2019.docs,2020.docs,2021.docs,2022.docs,2023.docs,2024.docs,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Dataset,Disguised Faces in the Wild,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Face Verification > Disguised Face Verification 
Computer Vision > Facial Recognition and Modelling > Face Verification > Disguised Face Verification 
",Disguised Faces in the Wild,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016187123,0.002793218,0.001216412,0
Dataset,Douban,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Miscellaneous > Recommendation Systems > Collaborative Filtering 
",Douban,0,0,0,0,1,0,1,3,3,5,15,16,18,25,32,64,89,0,0,0,0,0.122850123,0,0.084245998,0.131406045,0.084626234,0.072233459,0.087739822,0.076801229,0.070746374,0.10116952,0.089382978,0.077850357,0.066852954
Dataset,DRIVE,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"Medical > Medical Image Segmentation > Retinal Vessel Segmentation 
",DRIVE,0,0,0,0,0,0,0,0,0,0,8,7,3,11,17,55,62,0,0,0,0,0,0,0,0,0,0,0.046794572,0.033600538,0.011791062,0.044514589,0.047484707,0.066902651,0.04657172
Dataset,DUC 2004 Task 1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Natural Language Processing > Text Summarization >  
",DUC 2004 Task 1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.005849321,0.004800077,0,0.004046781,0,0,0.001502314
Dataset,DukeMTMC-reID,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Person Re-Identification >  
",DukeMTMC-reID,0,0,0,0,0,0,0,0,0,0,6,4,6,23,9,8,22,0,0,0,0,0,0,0,0,0,0,0.035095929,0.019200307,0.023582125,0.093075958,0.025138963,0.009731295,0.016525449
Dataset,DuReader,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Natural Language Processing > Question Answering > Open-Domain Question Answering 
",DuReader,0,0,0,0,0,0,0,0,0,0,1,4,3,7,7,30,51,0,0,0,0,0,0,0,0,0,0,0.005849321,0.019200307,0.011791062,0.028327466,0.019552526,0.036492355,0.038308996
Dataset,ECCV HotOrNot,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Facial Recognition and Modelling > Facial Beauty Prediction 
",ECCV HotOrNot,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004046781,0,0,0
Game,Game of Go,1,0,1,0,0,1,0,0,0,0,0,0,0,0,Playing Games > Board Games,Game of Go,0,0,1,1,0,2,0,1,35,91,325,365,363,350,294,568,981,0,0,0.302114804,0.175746924,0,0.333889816,0,0.043802015,0.987306065,1.314648945,1.901029481,1.752028032,1.426718547,1.416373275,0.821206112,0.690921919,0.736884803
Game,Shogi,1,0,1,0,0,1,0,0,0,0,0,0,0,0,Playing Games > Board Games ,Shogi,0,0,0,0,1,0,0,0,0,2,50,91,128,156,143,335,541,0,0,0,0,0.122850123,0,0,0,0,0.028893383,0.292466074,0.436806989,0.503085328,0.631297803,0.399430184,0.407497963,0.406375819
Dataset,EMNLP 2017,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Natural Language Processing > Text Generation >  
",EMNLP 2017,0,0,0,0,0,0,0,0,0,11,129,90,95,93,129,193,264,0,0,0,0,0,0,0,0,0,0.158913609,0.754562471,0.432006912,0.373383642,0.376350613,0.360325131,0.234767483,0.19830539
Dataset,enwiki8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Natural Language Processing > Language Modelling >  
",enwiki8,0,0,0,0,0,0,0,0,0,0,0,6,4,3,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0.028800461,0.015721416,0.012140342,0.011172872,0.006082059,0.005258097
Dataset,Event2Mind,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"Reasoning > Common Sense Reasoning >  
",Event2Mind,0,0,0,0,0,0,0,0,0,0,1,5,9,6,12,20,14,0,0,0,0,0,0,0,0,0,0,0.005849321,0.024000384,0.035373187,0.024280685,0.033518617,0.024328237,0.010516195
Dataset,Fashion-MNIST,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Image Classification >  
",Fashion-MNIST,0,0,0,0,0,0,0,0,0,18,237,442,621,433,540,1183,1762,0,0,0,0,0,0,0,0,0,0.260040451,1.38628919,2.121633946,2.440749912,1.75225608,1.508337756,1.439015193,1.323538249
Dataset,FB15k-237,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Graphs > Link Prediction >  
",FB15k-237,0,0,0,0,0,0,0,0,1,4,24,53,66,60,77,135,228,0,0,0,0,0,0,0,0,0.028208745,0.057786767,0.140383715,0.25440407,0.259403372,0.242806847,0.215077791,0.164215597,0.171263746
Dataset,FCE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Natural Language Processing > Grammatical Error Correction > Grammatical Error Detection 
",FCE,0,0,0,0,1,0,0,1,1,8,18,20,24,18,31,66,153,0,0,0,0,0.122850123,0,0,0.043802015,0.028208745,0.115573534,0.105287787,0.096001536,0.094328499,0.072842054,0.08658976,0.080283181,0.114926988
Dataset,FDDB,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Face Detection >  
Computer Vision > Facial Recognition and Modelling > Face Detection 
",FDDB,0,0,0,0,0,0,0,0,1,1,4,6,6,8,6,7,14,0,0,0,0,0,0,0,0,0.028208745,0.014446692,0.023397286,0.028800461,0.023582125,0.032374246,0.016759308,0.008514883,0.010516195
Dataset,FFHQ,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Image Generation >  
",FFHQ,0,0,0,0,0,0,0,0,0,0,1,21,46,74,97,286,495,0,0,0,0,0,0,0,0,0,0,0.005849321,0.100801613,0.18079629,0.299461778,0.270942152,0.347893783,0.371822607
Dataset,FGNET,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Facial Recognition and Modelling > Age Estimation 
",FGNET,0,0,1,0,1,1,0,2,3,1,7,10,9,7,11,16,13,0,0,0.302114804,0,0.122850123,0.166944908,0,0.08760403,0.084626234,0.014446692,0.04094525,0.048000768,0.035373187,0.028327466,0.030725399,0.019462589,0.009765038
Dataset,FGVC Aircraft,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Image Classification > Fine-Grained Image Classification 
",FGVC Aircraft,0,0,0,0,0,0,0,0,0,3,7,16,18,14,41,98,175,0,0,0,0,0,0,0,0,0,0.043340075,0.04094525,0.076801229,0.070746374,0.056654931,0.114521941,0.119208359,0.131452437
Dataset,fisher WER,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Speech > Speech Recognition >  
",fisher WER,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004046781,0,0.001216412,0
Dataset,FLIC,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Computer Vision > Pose Estimation,FLIC,0,0,0,0,0,0,2,0,3,1,3,1,2,5,6,12,13,0,0,0,0,0,0,0.168491997,0,0.084626234,0.014446692,0.017547964,0.004800077,0.007860708,0.020233904,0.016759308,0.014596942,0.009765038
Dataset,Flixster,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Miscellaneous > Recommendation Systems > Collaborative Filtering 
",Flixster,0,0,0,1,1,0,5,3,2,7,7,11,6,4,7,11,21,0,0,0,0.175746924,0.122850123,0,0.421229992,0.131406045,0.056417489,0.101126842,0.04094525,0.052800845,0.023582125,0.016187123,0.019552526,0.01338053,0.015774292
Dataset,Florence 3D Faces,0,0,1,0,1,0,0,0,0,0,0,1,0,0,"Computer Vision > Face Reconstruction > 3D Face Reconstruction 
Computer Vision > Facial Recognition and Modelling > Face Reconstruction > 3D Face Reconstruction 
Computer Vision > Facial Recognition and Modelling > 3D Face Reconstruction 
",Florence 3D Faces,0,0,0,0,0,1,2,1,0,0,1,6,18,39,69,214,383,0,0,0,0,0,0.166944908,0.168491997,0.043802015,0,0,0.005849321,0.028800461,0.070746374,0.157824451,0.192732047,0.260312131,0.287693047
Dataset,Flowers-102,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Image Classification > Fine-Grained Image Classification 
",Flowers-102,0,0,0,0,1,0,0,1,2,8,7,12,22,32,50,187,333,0,0,0,0,0.122850123,0,0,0.043802015,0.056417489,0.115573534,0.04094525,0.057600922,0.086467791,0.129496985,0.139660903,0.227469012,0.250135208
Dataset,GENIA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Natural Language Processing > Nested Mention Recognition >  
",GENIA,0,0,2,1,0,0,4,1,2,2,3,6,9,7,26,49,56,0,0,0.604229607,0.175746924,0,0,0.336983993,0.043802015,0.056417489,0.028893383,0.017547964,0.028800461,0.035373187,0.028327466,0.07262367,0.05960418,0.04206478
Dataset,GigaWord,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Natural Language Processing > Text Summarization >  
",GigaWord,0,0,0,2,0,1,0,1,0,1,7,3,1,5,2,6,12,0,0,0,0.351493849,0,0.166944908,0,0.043802015,0,0.014446692,0.04094525,0.01440023,0.003930354,0.020233904,0.005586436,0.007298471,0.009013881
Dataset,GLUE,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Methodology > Transfer Learning > Multi-Task Learning 
",GLUE,0,3,3,3,5,1,2,2,21,16,39,152,253,369,668,1610,2271,0,0.793650794,0.906344411,0.527240773,0.614250614,0.166944908,0.168491997,0.08760403,0.592383639,0.231147067,0.228123538,0.729611674,0.994379594,1.49326211,1.865869668,1.958423044,1.705877051
Dataset,Google Dataset,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Natural Language Processing > Sentence Embeddings > Sentence Compression 
Methodology > Representation Learning > Sentence Embeddings > Sentence Compression 
",Google Dataset,0,1,0,0,0,2,1,4,1,5,7,16,26,23,17,34,52,0,0.264550265,0,0,0,0.333889816,0.084245998,0.17520806,0.028208745,0.072233459,0.04094525,0.076801229,0.102189207,0.093075958,0.047484707,0.041358002,0.039060153
Dataset,Google Street Images,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Computer Vision > Safety Perception Recognition,Google Street Images,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.004800077,0,0.004046781,0,0,0.001502314
Game,GTA V,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Image Generation > Image-to-Image Translation > Synthetic-to-Real Translation 
Computer Vision > Image-to-Image Translation > Synthetic-to-Real Translation 
",GTA V,0,0,0,0,0,0,0,0,0,2,4,3,4,15,17,29,35,0,0,0,0,0,0,0,0,0,0.028893383,0.023397286,0.01440023,0.015721416,0.060701712,0.047484707,0.035275943,0.026290487
Dataset,GTSRB,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Autonomous Vehicles > Traffic Sign Recognition 
",GTSRB,0,0,0,0,1,1,0,1,3,5,22,44,53,42,74,175,262,0,0,0,0,0.122850123,0.166944908,0,0.043802015,0.084626234,0.072233459,0.128685073,0.211203379,0.208308769,0.169964793,0.206698137,0.21287207,0.196803077
Dataset,HANDS 2017,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Hand Pose Estimation >  
Computer Vision > Pose Estimation > Hand Pose Estimation 
Computer Vision > Hand > Hand Pose Estimation 
",HANDS 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004046781,0,0,0.000751157
Dataset,Helpdesk,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Time Series > Time Series Forecasting > Multivariate Time Series Forecasting 
",Helpdesk,0,0,0,0,2,0,0,0,4,3,12,5,21,13,11,14,15,0,0,0,0,0.245700246,0,0,0,0.112834979,0.043340075,0.070191858,0.024000384,0.082537437,0.05260815,0.030725399,0.017029766,0.011267352
Dataset,HIV dataset,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Medical > Drug Discovery >  
",HIV dataset,0,1,0,0,0,1,0,0,4,6,8,7,9,6,13,30,50,0,0.264550265,0,0,0,0.166944908,0,0,0.112834979,0.08668015,0.046794572,0.033600538,0.035373187,0.024280685,0.036311835,0.036492355,0.037557839
Dataset,HotpotQA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Natural Language Processing > Question Answering >  
",HotpotQA,0,0,0,0,0,0,0,0,0,0,0,22,57,62,112,297,733,0,0,0,0,0,0,0,0,0,0,0,0.10560169,0.224030185,0.250900409,0.312840423,0.361274313,0.550597921
Dataset,Human3.6M,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Pose Estimation > 3D Human Pose Estimation 
",Human3.6M,0,0,0,0,0,0,0,0,5,5,16,19,19,35,42,119,182,0,0,0,0,0,0,0,0,0.141043724,0.072233459,0.093589144,0.091201459,0.074676728,0.141637328,0.117315159,0.144753008,0.136710534
Dataset,Hutter Prize,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Natural Language Processing > Language Modelling >  
",Hutter Prize,0,0,0,2,0,1,0,0,4,7,3,8,5,7,1,3,14,0,0,0,0.351493849,0,0.166944908,0,0,0.112834979,0.101126842,0.017547964,0.038400614,0.019651771,0.028327466,0.002793218,0.003649235,0.010516195
Dataset,ICSI MRDA Corpus,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Natural Language Processing > Dialogue Act Classification ,ICSI MRDA Corpus,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003930354,0.004046781,0,0.001216412,0
Dataset,ICVL Hands,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Hand Pose Estimation >  
Computer Vision > Pose Estimation > Hand Pose Estimation 
Computer Vision > Hand > Hand Pose Estimation 
",ICVL Hands,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004046781,0,0,0.000751157
Dataset,IDHP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Miscellaneous > Causal Inference >  
",IDHP,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.009600154,0.007860708,0.016187123,0,0.003649235,0.000751157
Dataset,IEMOCAP,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"Natural Language Processing > Emotion Recognition > Emotion Recognition in Conversation 
Natural Language Processing > Emotion Recognition > Multimodal Emotion Recognition 
",IEMOCAP,0,0,0,0,0,0,0,0,0,2,23,34,20,37,65,160,230,0,0,0,0,0,0,0,0,0,0.028893383,0.134534394,0.163202611,0.078607082,0.149730889,0.181559174,0.194625893,0.17276606
Dataset,IJB,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Face Verification >  
Computer Vision > Facial Recognition and Modelling > Face Identification 
Computer Vision > Facial Recognition and Modelling > Face Verification 
",IJB,0,0,0,0,1,3,1,0,1,8,21,46,25,41,28,58,83,0,0,0,0,0.122850123,0.500834725,0.084245998,0,0.028208745,0.115573534,0.122835751,0.220803533,0.098258853,0.165918012,0.078210106,0.070551886,0.062346013
Dataset,ILSVRC,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"Computer Vision > Object Localization > Weakly-Supervised Object Localization 
",ILSVRC,0,0,0,2,3,8,11,30,59,136,272,271,284,239,214,373,630,0,0,0,0.351493849,0.368550369,1.335559265,0.926705981,1.314060447,1.664315938,1.964750072,1.591015442,1.300820813,1.116220571,0.967180608,0.597748666,0.453721612,0.473228772
Dataset,ImageNet,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"Computer Vision > Image Classification > Few-Shot Image Classification 
Computer Vision > Image Classification >  
Computer Vision > Object Detection > Video Object Detection 
Computer Vision > Object Detection > Weakly Supervised Object Detection 
Computer Vision > Object Detection >  
Computer Vision > Image Generation > Conditional Image Generation 
Methodology > Meta-Learning > Few-Shot Image Classification ",ImageNet,0,0,7,11,16,26,47,113,265,611,1647,2014,2330,2178,2995,6518,10635,0,0,2.114803625,1.933216169,1.965601966,4.340567613,3.959561921,4.949627683,7.475317348,8.826928633,9.633832475,9.667354678,9.157725111,8.813888552,8.365688109,7.928572297,7.988552371
Dataset,IMDb,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"Natural Language Processing > Text Classification > Document Classification 
Natural Language Processing > Text Classification >  
Natural Language Processing > Sentiment Analysis >  
",IMDb,3,5,3,11,9,6,16,25,27,100,209,240,311,304,451,912,1443,1.948051948,1.322751323,0.906344411,1.933216169,1.105651106,1.001669449,1.347935973,1.095050372,0.761636107,1.444669171,1.222508189,1.152018432,1.222340133,1.230221359,1.259741348,1.109367587,1.083919236
Dataset,iNaturalist,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Image Classification >  
",iNaturalist,0,0,0,0,0,0,0,0,0,2,4,15,25,30,56,196,340,0,0,0,0,0,0,0,0,0,0.028893383,0.023397286,0.072001152,0.098258853,0.121403424,0.156420212,0.238416718,0.255393306
Dataset,Indian Pines,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Image Classification > Hyperspectral Image Classification 
Computer Vision > Hyperspectral > Hyperspectral Image Classification 
",Indian Pines,0,0,0,1,0,0,0,0,3,1,11,13,7,9,12,16,29,0,0,0,0.175746924,0,0,0,0,0.084626234,0.014446692,0.064342536,0.062400998,0.027512479,0.036421027,0.033518617,0.019462589,0.021783547
Dataset,iPinYou,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Miscellaneous > Click-Through Rate Prediction >  
",iPinYou,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,11,2,0,0,0,0,0,0,0,0,0,0.014446692,0.011698643,0.009600154,0.007860708,0.008093562,0.005586436,0.01338053,0.001502314
Dataset,ISBI 2012 EM Segmentation,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"Medical > Medical Image Segmentation >  
",ISBI 2012 EM Segmentation,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.122850123,0,0,0,0,0,0,0,0,0.004046781,0,0,0.000751157
Dataset,iSEG 2017 Challenge,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"Medical > Medical Image Segmentation > Infant Brain Mri Segmentation 
Medical > Medical Image Segmentation >  
",iSEG 2017 Challenge,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.005849321,0.009600154,0.003930354,0.004046781,0.002793218,0.001216412,0.000751157
Dataset,ISIC 2018,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"Medical > Medical Image Segmentation > Lesion Segmentation 
",ISIC 2018,0,0,0,0,0,0,0,0,0,0,4,7,9,10,20,46,94,0,0,0,0,0,0,0,0,0,0,0.023397286,0.033600538,0.035373187,0.040467808,0.055864361,0.055954944,0.070608737
Dataset,ITOP,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Pose Estimation >  
",ITOP,0,0,0,0,1,0,0,0,0,0,0,1,1,3,4,15,19,0,0,0,0,0.122850123,0,0,0,0,0,0,0.004800077,0.003930354,0.012140342,0.011172872,0.018246177,0.014271979
Dataset,IWSLT,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"Natural Language Processing > Machine Translation >  
",IWSLT,0,1,0,0,2,0,2,3,4,14,62,40,70,60,120,266,342,0,0.264550265,0,0,0.245700246,0,0.168491997,0.131406045,0.112834979,0.202253684,0.362657932,0.192003072,0.275124789,0.242806847,0.335186168,0.323565546,0.256895619
Dataset,JFLEG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Natural Language Processing > Grammatical Error Correction > Grammatical Error Detection 
Natural Language Processing > Grammatical Error Correction >  
",JFLEG,0,0,0,0,0,0,0,0,0,0,4,3,2,2,9,30,25,0,0,0,0,0,0,0,0,0,0,0.023397286,0.01440023,0.007860708,0.008093562,0.025138963,0.036492355,0.01877892
Dataset,JIGSAWS,0,0,1,0,1,0,0,0,0,0,0,1,0,0,"Medical > Surgical Skills Evaluation >  
",JIGSAWS,0,1,0,0,1,0,0,0,2,2,1,5,8,13,5,15,30,0,0.264550265,0,0,0.122850123,0,0,0,0.056417489,0.028893383,0.005849321,0.024000384,0.031442833,0.05260815,0.01396609,0.018246177,0.022534703
Dataset,Kaggle Skin Lesion Segmentation,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"Medical > Medical Image Segmentation > Skin Cancer Segmentation 
",Kaggle Skin Lesion Segmentation,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004046781,0,0,0
Dataset,KITTI,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Computer Vision > Object Localization ,KITTI,0,0,0,0,1,4,4,2,15,28,82,111,122,173,339,742,1081,0,0,0,0,0.122850123,0.667779633,0.336983993,0.08760403,0.423131171,0.404507368,0.479644361,0.532808525,0.479503203,0.700093076,0.946900925,0.902577577,0.812000481
Dataset,Labeled Faces in the Wild,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Face Verification >  
Computer Vision > Facial Recognition and Modelling > Face Verification 
",Labeled Faces in the Wild,0,0,0,2,2,3,6,4,22,25,55,43,43,43,37,77,112,0,0,0,0.351493849,0.245700246,0.500834725,0.50547599,0.17520806,0.620592384,0.361167293,0.321712681,0.206403302,0.169005227,0.174011574,0.103349068,0.093663711,0.08412956
Dataset,Leeds Sports Poses,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Pose Estimation >  
",Leeds Sports Poses,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0.084245998,0,0,0,0,0,0,0.004046781,0,0.002432824,0.000751157
Dataset,LexNorm,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Natural Language Processing > Lexical Normalization >  
",LexNorm,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0.004800077,0,0.004046781,0.008379654,0.004865647,0.005258097
Dataset,LibriSpeech,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Speech > Speech Recognition >  
",LibriSpeech,0,0,0,0,0,0,0,0,2,7,27,39,49,65,203,463,608,0,0,0,0,0,0,0,0,0.056417489,0.101126842,0.15793168,0.187202995,0.192587352,0.263040751,0.567023268,0.563198677,0.456703323
Dataset,LineMOD,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Pose Estimation > 6D Pose Estimation 
",LineMOD,0,0,0,0,0,0,0,0,1,1,0,1,4,2,13,10,10,0,0,0,0,0,0,0,0,0.028208745,0.014446692,0,0.004800077,0.015721416,0.008093562,0.036311835,0.012164118,0.007511568
Dataset,Long-tail emerging entities,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Natural Language Processing > Named Entity Recognition >  
",Long-tail emerging entities,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003930354,0.004046781,0,0,0
Dataset,LSUN Bedroom 256 x 256,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Image Generation >  
",LSUN Bedroom 256 x 256,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004046781,0.005586436,0.004865647,0.006760411
Dataset,LUNA,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"Medical > Medical Image Segmentation > Lung Nodule Segmentation 
",LUNA,0,0,0,2,3,5,3,1,4,17,48,43,88,91,196,501,837,0,0,0,0.351493849,0.368550369,0.834724541,0.252737995,0.043802015,0.112834979,0.245593759,0.280767431,0.206403302,0.345871163,0.368257052,0.547470741,0.609422326,0.628718226
Dataset,MAFA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Face Detection > Occluded Face Detection 
Computer Vision > Facial Recognition and Modelling > Face Detection > Occluded Face Detection 
",MAFA,0,0,0,0,0,0,1,0,1,0,0,0,0,6,3,6,7,0,0,0,0,0,0,0.084245998,0,0.028208745,0,0,0,0,0.024280685,0.008379654,0.007298471,0.005258097
Dataset,Mandarin Chinese,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"Speech > Speech Synthesis >  
",Mandarin Chinese,0,0,0,0,0,0,0,1,0,3,7,7,8,13,54,101,173,0,0,0,0,0,0,0,0.043802015,0,0.043340075,0.04094525,0.033600538,0.031442833,0.05260815,0.150833776,0.122857595,0.129950123
Dataset,Market 1501,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Person Re-Identification >  
",Market 1501,0,0,0,0,0,0,0,0,1,2,14,9,12,32,23,26,60,0,0,0,0,0,0,0,0,0.028208745,0.028893383,0.081890501,0.043200691,0.047164249,0.129496985,0.064244016,0.031626708,0.045069407
Dataset,MCTest,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Natural Language Processing > Question Answering >  
",MCTest,0,0,0,0,0,0,0,4,9,9,20,17,16,15,20,40,40,0,0,0,0,0,0,0,0.17520806,0.253878702,0.130020225,0.11698643,0.081601306,0.062885666,0.060701712,0.055864361,0.048656473,0.030046271
Dataset,Medical domain,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"Natural Language Processing > Hypernym Discovery >  
",Medical domain,0,2,2,3,2,1,1,7,14,25,83,135,175,187,299,890,1746,0,0.529100529,0.604229607,0.527240773,0.245700246,0.166944908,0.084245998,0.306614104,0.394922426,0.361167293,0.485493683,0.648010368,0.687811972,0.756748007,0.835172202,1.082606527,1.31151974
Dataset,MegaFace,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Face Verification >  
Computer Vision > Facial Recognition and Modelling > Face Identification 
Computer Vision > Facial Recognition and Modelling > Face Verification 
",MegaFace,0,0,0,0,0,0,0,0,4,7,7,4,7,18,8,15,14,0,0,0,0,0,0,0,0,0.112834979,0.101126842,0.04094525,0.019200307,0.027512479,0.072842054,0.022345745,0.018246177,0.010516195
Dataset,METR-LA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Time Series > Traffic Prediction >  
",METR-LA,0,0,0,0,0,0,0,0,0,0,2,7,11,21,31,84,118,0,0,0,0,0,0,0,0,0,0,0.011698643,0.033600538,0.043233895,0.084982397,0.08658976,0.102178594,0.0886365
Dataset,MHP,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Human Parsing > Multi-Human Parsing 
",MHP,0,0,0,0,0,0,0,0,3,4,8,5,13,20,21,61,87,0,0,0,0,0,0,0,0,0.084626234,0.057786767,0.046794572,0.024000384,0.051094604,0.080935616,0.058657579,0.074201122,0.06535064
Dataset,Million Song Dataset,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Miscellaneous > Recommendation Systems > Collaborative Filtering 
",Million Song Dataset,0,0,0,0,2,2,8,11,15,16,35,29,27,22,22,45,86,0,0,0,0,0.245700246,0.333889816,0.673967987,0.481822164,0.423131171,0.231147067,0.204726252,0.139202227,0.106119561,0.089029177,0.061450797,0.054738532,0.064599483
